date,team_1,team_2,result_1,result_2,map_winner,
2020-03-18,Recon 5,TeamOne,0,16,2,
2020-03-18,Recon 5,TeamOne,13,16,2,
2020-03-18,New England Whalers,Station7,12,16,2,
2020-03-18,Rugratz,Bad News Bears,7,16,2,
2020-03-18,Rugratz,Bad News Bears,8,16,2,
2020-03-17,Singularity,Endpoint,13,16,2,
2020-03-17,Singularity,Endpoint,11,16,2,
2020-03-17,Espada,Tricked,16,10,1,
2020-03-17,Espada,Tricked,16,10,1,
2020-03-17,fnatic,BIG,12,16,2,
2020-03-17,Sprout,Movistar Riders,16,10,1,
2020-03-17,Rooster,Skyfire,16,13,1,
2020-03-17,Rooster,Skyfire,16,1,1,
2020-03-17,Paradox,Airborne,19,16,1,
2020-03-17,Paradox,Airborne,9,16,2,
2020-03-17,Paradox,Airborne,10,16,2,
2020-03-17,Alcoholics Anonymous,Station7,5,16,2,
2020-03-17,New England Whalers,District 7,16,7,1,
2020-03-17,AGO,HellRaisers,16,5,1,
2020-03-17,AGO,HellRaisers,16,5,1,
2020-03-17,Sprout,Movistar Riders,16,7,1,
2020-03-17,fnatic,BIG,16,7,1,
2020-03-17,Natus Vincere,North,10,16,2,
2020-03-17,Natus Vincere,North,10,16,2,
2020-03-17,forZe,Complexity,9,16,2,
2020-03-17,forZe,Complexity,19,17,1,
2020-03-17,fnatic,BIG,7,16,2,
2020-03-17,forZe,Complexity,16,9,1,
2020-03-17,pro100,Japaleno,8,16,2,
2020-03-17,pro100,Japaleno,14,16,2,
2020-03-17,GamerLegion,Nordavind,16,9,1,
2020-03-17,GamerLegion,Nordavind,9,16,2,
2020-03-17,GamerLegion,Nordavind,14,16,2,
2020-03-16,District 7,Bad News Bears,7,16,2,
2020-03-16,Thunder Logic,TeamOne,5,16,2,
2020-03-16,Bad News Bears,Station7,16,8,1,
2020-03-16,Rugratz,New England Whalers,16,10,1,
2020-03-16,Recon 5,Oceanus,16,5,1,
2020-03-16,Chaos,In The Lab,16,1,1,
2020-03-16,Infinity,Thunder Logic,16,14,1,
2020-03-16,District 7,Rugratz,9,16,2,
2020-03-16,Under 21,TeamOne,12,16,2,
2020-03-16,Chaos,Monstars,16,12,1,
2020-03-16,Thunder Logic,New England Whalers,16,13,1,
2020-03-16,Singularity,Espada,16,11,1,
2020-03-16,Vitality,GODSENT,16,14,1,
2020-03-16,Vitality,GODSENT,16,8,1,
2020-03-16,Astralis,NiP,8,16,2,
2020-03-16,Thunder Logic,Under 21,11,16,2,
2020-03-16,Astralis,NiP,6,16,2,
2020-03-16,Singularity,Espada,11,16,2,
2020-03-16,Singularity,Espada,9,16,2,
2020-03-16,ENCE,Spirit,2,16,2,
2020-03-16,ENCE,Spirit,14,16,2,
2020-03-15,Big Frames,Chaos,13,16,2,
2020-03-15,Swole Identity,Mythic,9,16,2,
2020-03-15,I sleep,Airborne,10,16,2,
2020-03-15,I sleep,Airborne,9,16,2,
2020-03-15,Thunder Logic,Swole Identity,19,16,1,
2020-03-15,Chaos,Oceanus,16,8,1,
2020-03-15,TeamOne,Big Frames,16,5,1,
2020-03-15,Thunder Logic,In The Lab,16,14,1,
2020-03-15,I sleep,Incept,16,8,1,
2020-03-15,FunPlus Phoenix,Cloud9,20,22,2,
2020-03-15,Endpoint,Tricked,6,16,2,
2020-03-15,Endpoint,Tricked,14,16,2,
2020-03-15,Endpoint,Tricked,16,13,1,
2020-03-15,Orgless,Dignitas,12,16,2,
2020-03-15,Orgless,Dignitas,10,16,2,
2020-03-15,Orgless,Dignitas,16,8,1,
2020-03-15,FunPlus Phoenix,Cloud9,3,16,2,
2020-03-15,I sleep,Incept,16,6,1,
2020-03-15,FunPlus Phoenix,Cloud9,16,10,1,
2020-03-14,Bad News Bears,Under 21,18,22,2,
2020-03-14,ORDER,Paradox,16,19,2,
2020-03-14,ORDER,Paradox,16,6,1,
2020-03-14,ORDER,Paradox,16,4,1,
2020-03-14,EGOBOYZ,Infamous,16,9,1,
2020-03-14,Triumph,Chaos,16,8,1,
2020-03-14,Bad News Bears,Triumph,16,10,1,
2020-03-14,Chaos,TeamOne,16,3,1,
2020-03-14,TeamOne,Rugratz,11,16,2,
2020-03-14,EGOBOYZ,Infamous,8,16,2,
2020-03-14,Imperial,Reapers,16,11,1,
2020-03-14,EGOBOYZ,Infamous,18,22,2,
2020-03-14,Imperial,Reapers,16,10,1,
2020-03-14,Supremacy,Infamous,16,12,1,
2020-03-14,Chaos,MIBR,16,6,1,
2020-03-14,Mythic,Station7,14,16,2,
2020-03-14,Chaos,MIBR,16,14,1,
2020-03-14,Gen.G,Envy,19,17,1,
2020-03-14,Gen.G,Envy,13,16,2,
2020-03-14,Gen.G,Envy,16,9,1,
2020-03-14,Supremacy,Infamous,16,1,1,
2020-03-13,Bad News Bears,Oceanus,16,4,1,
2020-03-13,District 7,Divine,22,20,1,
2020-03-13,Swole Patrol,Under 21,16,8,1,
2020-03-13,Swole Identity,Big Frames,25,22,1,
2020-03-13,TeamOne,Mythic,4,16,2,
2020-03-13,Thunder Logic,Rugratz,11,16,2,
2020-03-13,Triumph,In The Lab,16,7,1,
2020-03-13,Swole Identity,Bad News Bears,9,16,2,
2020-03-13,Under 21,Mythic,22,19,1,
2020-03-13,Divine,Station7,13,16,2,
2020-03-13,Chaos,New England Whalers,16,10,1,
2020-03-13,District 7,Swole Patrol,12,16,2,
2020-03-13,Divine,Big Frames,16,11,1,
2020-03-13,Triumph,Monstars,16,4,1,
2020-03-13,Chaos,Thunder Logic,16,12,1,
2020-03-13,Reapers,Neverest,17,19,2,
2020-03-13,New England Whalers,TeamOne,16,12,1,
2020-03-13,MAD Lions,HAVU,10,16,2,
2020-03-13,District 7,Mythic,16,11,1,
2020-03-13,Reapers,Neverest,16,10,1,
2020-03-13,Reapers,Neverest,16,10,1,
2020-03-13,Copenhagen Flames,c0ntact,16,19,2,
2020-03-13,MAD Lions,HAVU,13,16,2,
2020-03-13,MAD Lions,HAVU,16,12,1,
2020-03-13,Copenhagen Flames,c0ntact,5,16,2,
2020-03-13,pro100,Sprout,16,12,1,
2020-03-13,Spirit,Demolition Crew,16,9,1,
2020-03-13,Singularity,Unicorns of Love,16,7,1,
2020-03-13,Spirit,pro100,16,8,1,
2020-03-13,TeamOne,In The Lab,16,5,1,
2020-03-13,Oceanus,Swole Patrol,10,16,2,
2020-03-12,Station7,Big Frames,3,16,2,
2020-03-12,Bad News Bears,New England Whalers,13,16,2,
2020-03-12,District 7,Chaos,13,16,2,
2020-03-12,Triumph,Under 21,11,16,2,
2020-03-12,Soberano,Bravos,16,9,1,
2020-03-12,Soberano,Bravos,22,20,1,
2020-03-12,Mythic,Recon 5,14,16,2,
2020-03-12,Oceanus,TeamOne,9,16,2,
2020-03-12,Chaos,Infinity,16,8,1,
2020-03-12,Chaos,Swole Identity,14,16,2,
2020-03-12,Rugratz,Divine,16,14,1,
2020-03-12,Bad News Bears,TeamOne,12,16,2,
2020-03-12,In The Lab,Infinity,13,16,2,
2020-03-12,Triumph,Swole Patrol,5,16,2,
2020-03-12,Swole Identity,Divine,12,16,2,
2020-03-12,Under 21,Recon 5,16,8,1,
2020-03-12,Swole Patrol,In The Lab,16,3,1,
2020-03-12,Rugratz,Oceanus,16,4,1,
2020-03-12,Divine,TeamOne,14,16,2,
2020-03-12,In The Lab,Big Frames,16,10,1,
2020-03-12,District 7,Thunder Logic,16,14,1,
2020-03-12,Rooster,Paradox,16,9,1,
2020-03-12,Illuminar,Spirit,10,16,2,
2020-03-12,New England Whalers,Station7,16,11,1,
2020-03-12,Japaleno,BIG,11,16,2,
2020-03-12,PACT,pro100,11,16,2,
2020-03-12,Spirit,Nemiga,8,16,2,
2020-03-12,Sprout,Nordavind,14,16,2,
2020-03-12,Unicorns of Love,HellRaisers,6,16,2,
2020-03-12,Spirit,Nordavind,16,5,1,
2020-03-12,HellRaisers,Wisla Krakow,16,12,1,
2020-03-12,HellRaisers,Singularity,16,12,1,
2020-03-12,Rooster,Paradox,11,16,2,
2020-03-12,VERTEX,I sleep,16,6,1,
2020-03-12,Rooster,Paradox,16,13,1,
2020-03-12,Incept,Paradox,7,16,2,
2020-03-12,VERTEX,I sleep,16,2,1,
2020-03-12,Rooster,TRIDENT,16,9,1,
2020-03-12,Chiefs,Skyfire,22,20,1,
2020-03-12,ORDER,Ground Zero,16,14,1,
2020-03-12,Ground Zero,Skyfire,12,16,2,
2020-03-11,Bad News Bears,Monstars,13,16,2,
2020-03-11,Chiefs,Paradox,13,16,2,
2020-03-11,I sleep,Esper,16,7,1,
2020-03-11,PC419,Formidable,16,8,1,
2020-03-11,TeamOne,Recon 5,16,11,1,
2020-03-11,LiViD,TeamOne,12,16,2,
2020-03-11,Under 21,New England Whalers,12,16,2,
2020-03-11,Big Frames,Recon 5,6,16,2,
2020-03-11,Triumph,Thunder Logic,16,7,1,
2020-03-11,TeamOne,Triumph,19,17,1,
2020-03-11,Big Frames,Rugratz,14,16,2,
2020-03-11,Under 21,Infinity,16,7,1,
2020-03-11,New England Whalers,Monstars,11,16,2,
2020-03-11,Station7,ex-eUnited,4,16,2,
2020-03-11,In The Lab,Divine,16,7,1,
2020-03-11,Station7,Rugratz,7,16,2,
2020-03-11,Chiefs,Paradox,20,22,2,
2020-03-11,Chiefs,Paradox,16,14,1,
2020-03-11,LiViD,Recon 5,9,16,2,
2020-03-11,FURY,TRIDENT,20,22,2,
2020-03-11,Keyd,Isurus,7,16,2,
2020-03-11,Keyd,Isurus,16,12,1,
2020-03-11,Illuminar,Nemiga,13,16,2,
2020-03-11,AGO,Nemiga,16,10,1,
2020-03-11,Japaleno,Nordavind,16,6,1,
2020-03-11,pro100,HellRaisers,16,13,1,
2020-03-11,Demolition Crew,BIG,7,16,2,
2020-03-11,Wisla Krakow,Japaleno,17,19,2,
2020-03-11,Spirit,Unicorns of Love,16,6,1,
2020-03-11,ORDER,AVANT,9,16,2,
2020-03-11,Sprout,Movistar Riders,16,12,1,
2020-03-11,Sprout,PACT,16,11,1,
2020-03-11,Illuminar,BIG,7,16,2,
2020-03-11,ORDER,AVANT,13,16,2,
2020-03-11,Nordavind,PACT,16,2,1,
2020-03-11,ORDER,AVANT,16,14,1,
2020-03-11,GamerLegion,pro100,16,14,1,
2020-03-11,Spirit,HellRaisers,10,16,2,
2020-03-11,Nemiga,Nordavind,16,6,1,
2020-03-10,Divine,Monstars,23,25,2,
2020-03-10,Big Frames,Bad News Bears,6,16,2,
2020-03-10,Station7,Recon 5,13,16,2,
2020-03-10,TeamOne,Infinity,16,14,1,
2020-03-10,Thunder Logic,Bad News Bears,6,16,2,
2020-03-10,ex-eUnited,Chaos,13,16,2,
2020-03-10,Station7,In The Lab,16,11,1,
2020-03-10,Infinity,Divine,14,16,2,
2020-03-10,TeamOne,Swole Identity,16,11,1,
2020-03-10,Rugratz,Monstars,16,4,1,
2020-03-10,Under 21,Oceanus,16,2,1,
2020-03-10,DETONA,RED Canids,9,16,2,
2020-03-10,DETONA,RED Canids,14,16,2,
2020-03-10,Oceanus,New England Whalers,16,13,1,
2020-03-10,ex-eUnited,Thunder Logic,16,3,1,
2020-03-10,Under 21,Rugratz,16,1,1,
2020-03-10,ex-eUnited,TeamOne,16,8,1,
2020-03-10,Yeah,Envy,12,16,2,
2020-03-10,In The Lab,New England Whalers,12,16,2,
2020-03-10,In The Lab,Recon 5,7,16,2,
2020-03-10,Yeah,Envy,11,16,2,
2020-03-10,PACT,BIG,7,16,2,
2020-03-10,AVANT,Paradox,16,9,1,
2020-03-10,AGO,Nordavind,7,16,2,
2020-03-10,Demolition Crew,Illuminar,16,6,1,
2020-03-10,GamerLegion,Japaleno,16,14,1,
2020-03-10,Spirit,Movistar Riders,16,13,1,
2020-03-10,Demolition Crew,HellRaisers,12,16,2,
2020-03-10,AGO,pro100,19,15,1,
2020-03-10,Spirit,PACT,16,3,1,
2020-03-10,Nemiga,HellRaisers,13,16,2,
2020-03-10,BIG,Sprout,14,16,2,
2020-03-10,Paradox,Ground Zero,15,19,2,
2020-03-10,Rooster,Chiefs,8,16,2,
2020-03-10,Skyfire,AVANT,8,16,2,
2020-03-10,Paradox,Ground Zero,16,9,1,
2020-03-10,Formidable,Incept,9,16,2,
2020-03-10,Rooster,Chiefs,38,40,2,
2020-03-10,PC419,Airborne,7,16,2,
2020-03-10,PC419,Chiefs,5,16,2,
2020-03-10,Paradox,Ground Zero,19,15,1,
2020-03-09,TeamOne,Monstars,6,16,2,
2020-03-09,ORDER,Ground Zero,16,3,1,
2020-03-09,Recon 5,Monstars,16,9,1,
2020-03-09,New England Whalers,Infinity,7,16,2,
2020-03-09,Infinity,Station7,13,16,2,
2020-03-09,Thunder Logic,Recon 5,12,16,2,
2020-03-09,New England Whalers,Big Frames,19,17,1,
2020-03-09,Ze Pug Godz,Yeah,13,16,2,
2020-03-09,Ze Pug Godz,Yeah,10,16,2,
2020-03-09,Ze Pug Godz,Yeah,16,10,1,
2020-03-09,Envy,Chaos,19,16,1,
2020-03-09,Envy,Chaos,18,22,2,
2020-03-09,Rooster,I sleep,16,13,1,
2020-03-09,Envy,Chaos,16,10,1,
2020-03-09,ORDER,Ground Zero,16,10,1,
2020-03-09,Illuminar,Nordavind,11,16,2,
2020-03-09,Paradox,FURY,16,8,1,
2020-03-09,Triumph,Orgless,16,12,1,
2020-03-09,Triumph,Orgless,16,14,1,
2020-03-09,W7M,Alma,16,7,1,
2020-03-09,W7M,Alma,16,14,1,
2020-03-09,AGO,BIG,16,6,1,
2020-03-09,Triumph,Orgless,11,16,2,
2020-03-09,BIG,Unicorns of Love,16,9,1,
2020-03-09,Chiefs,AVANT,16,13,1,
2020-03-09,Chiefs,AVANT,12,16,2,
2020-03-09,AGO,Illuminar,6,16,2,
2020-03-09,Chiefs,AVANT,12,16,2,
2020-03-09,BIG,GamerLegion,11,16,2,
2020-03-08,Chiefs,Ground Zero,16,9,1,
2020-03-08,Copenhagen Flames,Sprout,4,16,2,
2020-03-08,Copenhagen Flames,Sprout,16,12,1,
2020-03-08,Copenhagen Flames,Sprout,16,11,1,
2020-03-08,SMASH,Movistar Riders,7,16,2,
2020-03-08,SMASH,Movistar Riders,16,14,1,
2020-03-08,EHOME,JiJieHao,25,22,1,
2020-03-08,EHOME,JiJieHao,14,16,2,
2020-03-08,EHOME,JiJieHao,16,10,1,
2020-03-08,ORDER,Chiefs,16,1,1,
2020-03-08,ORDER,Chiefs,16,13,1,
2020-03-08,Chiefs,Ground Zero,16,7,1,
2020-03-08,Chiefs,Ground Zero,12,16,2,
2020-03-08,SMASH,Movistar Riders,12,16,2,
2020-03-08,AVANT,Chiefs,11,16,2,
2020-03-08,Rooster,Ground Zero,9,16,2,
2020-03-08,Rooster,Ground Zero,16,6,1,
2020-03-08,Rooster,Ground Zero,12,16,2,
2020-03-08,Gen.G,Orgless,16,7,1,
2020-03-08,Gen.G,Orgless,16,7,1,
2020-03-08,AVANT,Chiefs,12,16,2,
2020-03-08,Cloud9,Mythic,16,14,1,
2020-03-08,Cloud9,Mythic,16,10,1,
2020-03-08,Bad News Bears,Ze Pug Godz,16,13,1,
2020-03-08,Bad News Bears,Ze Pug Godz,16,9,1,
2020-03-08,KOVA,OG,4,16,2,
2020-03-08,FURIA,Envy,16,11,1,
2020-03-08,FURIA,Envy,16,7,1,
2020-03-08,KOVA,OG,14,16,2,
2020-03-08,BIG,Movistar Riders,4,16,2,
2020-03-08,TYLOO,EHOME,16,12,1,
2020-03-08,BIG,Movistar Riders,16,11,1,
2020-03-08,TYLOO,EHOME,16,7,1,
2020-03-08,Mythic,Triumph,16,14,1,
2020-03-08,Mythic,Triumph,14,16,2,
2020-03-08,Orgless,ex-eUnited,3,16,2,
2020-03-08,Orgless,ex-eUnited,16,11,1,
2020-03-08,Orgless,ex-eUnited,16,12,1,
2020-03-08,GODSENT,OG,16,3,1,
2020-03-08,GODSENT,OG,20,22,2,
2020-03-08,GODSENT,OG,16,14,1,
2020-03-08,Dignitas,Nordavind,12,16,2,
2020-03-08,Dignitas,Nordavind,16,13,1,
2020-03-08,Dignitas,Nordavind,16,8,1,
2020-03-08,BIG,Movistar Riders,20,22,2,
2020-03-08,Mythic,Triumph,12,16,2,
2020-03-08,LiViD,Chaos,8,16,2,
2020-03-08,Triumph,Swole Identity,16,5,1,
2020-03-08,LiViD,Chaos,11,16,2,
2020-03-08,Nordavind,Apeks,15,19,2,
2020-03-08,Nordavind,Apeks,16,8,1,
2020-03-08,Rugratz,ex-eUnited,14,16,2,
2020-03-08,Rugratz,ex-eUnited,13,16,2,
2020-03-08,Nordavind,Apeks,16,13,1,
2020-03-08,Triumph,Swole Identity,16,13,1,
2020-03-08,Heroic,Copenhagen Flames,13,16,2,
2020-03-08,Divine,Yeah,6,16,2,
2020-03-08,Divine,Yeah,2,16,2,
2020-03-08,Heroic,Copenhagen Flames,14,16,2,
2020-03-07,Bren,Beyond,12,16,2,
2020-03-07,Wubbalubbadubdub,R-Stars,9,16,2,
2020-03-07,Wubbalubbadubdub,R-Stars,7,16,2,
2020-03-07,Bren,Beyond,4,16,2,
2020-03-07,Bren,Beyond,16,11,1,
2020-03-07,Chiefs,Skyfire,16,11,1,
2020-03-07,Chiefs,Skyfire,2,16,2,
2020-03-07,Chiefs,Skyfire,19,17,1,
2020-03-07,Maple,HZ,6,16,2,
2020-03-07,Maple,HZ,23,25,2,
2020-03-07,Blank,Bren,11,16,2,
2020-03-07,ViCi,JiJieHao,16,13,1,
2020-03-07,ViCi,JiJieHao,2,16,2,
2020-03-07,OneThree,JiJieHao,16,19,2,
2020-03-07,Blank,Bren,2,16,2,
2020-03-07,Renegades,ORDER,16,7,1,
2020-03-07,Renegades,ORDER,16,9,1,
2020-03-07,Renegades,ORDER,14,16,2,
2020-03-07,OneThree,JiJieHao,11,16,2,
2020-03-07,OneThree,JiJieHao,16,14,1,
2020-03-07,Maple,Paper Rex,16,12,1,
2020-03-07,Maple,Paper Rex,16,10,1,
2020-03-07,Maple,Paper Rex,13,16,2,
2020-03-07,Aequus,Finest,16,10,1,
2020-03-07,Aequus,Finest,19,16,1,
2020-03-07,HZ,Lucid Dream,10,16,2,
2020-03-07,Renegades,AVANT,16,19,2,
2020-03-07,ViCi,JiJieHao,16,4,1,
2020-03-07,Chiefs,Rooster,16,14,1,
2020-03-07,Renegades,AVANT,16,12,1,
2020-03-07,Chiefs,Rooster,12,16,2,
2020-03-07,HZ,Lucid Dream,14,16,2,
2020-03-07,Triumph,Infinity,16,10,1,
2020-03-07,Under 21,Divine,16,3,1,
2020-03-07,Renegades,catman,16,9,1,
2020-03-07,Renegades,catman,16,4,1,
2020-03-07,AVANT,Ground Zero,16,9,1,
2020-03-07,AVANT,Ground Zero,16,11,1,
2020-03-07,Station7,Triumph,12,16,2,
2020-03-07,ORDER,Skyfire,16,7,1,
2020-03-07,ORDER,Skyfire,22,20,1,
2020-03-07,Divine,Recon 5,1,16,2,
2020-03-07,Under 21,In The Lab,16,5,1,
2020-03-07,Chiefs,Rooster,9,16,2,
2020-03-07,Renegades,AVANT,16,6,1,
2020-03-07,Supremacy,Infamous,16,7,1,
2020-03-07,Supremacy,Infamous,16,7,1,
2020-03-07,Ground Zero,catman,16,7,1,
2020-03-07,Ground Zero,catman,16,12,1,
2020-03-07,TYLOO,Wubbalubbadubdub,16,5,1,
2020-03-07,TYLOO,Wubbalubbadubdub,16,6,1,
2020-03-07,EHOME,OneThree,16,10,1,
2020-03-07,EHOME,OneThree,16,5,1,
2020-03-07,Rooster,ORDER,8,16,2,
2020-03-07,Rooster,ORDER,8,16,2,
2020-03-07,Paper Rex,Lucid Dream,13,16,2,
2020-03-07,Paper Rex,Lucid Dream,8,16,2,
2020-03-07,HZ,Lucid Dream,16,14,1,
2020-03-07,Complexity,GODSENT,16,11,1,
2020-03-07,EHOME,ViCi,8,16,2,
2020-03-07,Bad News Bears,Rugratz,16,1,1,
2020-03-07,Bad News Bears,Rugratz,10,16,2,
2020-03-07,Heretics,Heroic,16,13,1,
2020-03-07,Heretics,Heroic,16,13,1,
2020-03-07,FURIA,Triumph,16,11,1,
2020-03-07,FURIA,Triumph,16,14,1,
2020-03-07,eUnited,Ze Pug Godz,14,16,2,
2020-03-07,eUnited,Ze Pug Godz,10,16,2,
2020-03-07,Envy,Swole Identity,16,14,1,
2020-03-07,Envy,Swole Identity,11,16,2,
2020-03-07,Envy,Swole Identity,16,12,1,
2020-03-07,fnatic,Dignitas,16,3,1,
2020-03-07,fnatic,Dignitas,19,15,1,
2020-03-07,fnatic,Dignitas,18,22,2,
2020-03-07,Gen.G,Divine,16,7,1,
2020-03-07,Gen.G,Divine,16,4,1,
2020-03-07,Cloud9,LiViD,16,11,1,
2020-03-07,Cloud9,LiViD,16,5,1,
2020-03-07,Orgless,Yeah,16,9,1,
2020-03-07,Complexity,GODSENT,16,11,1,
2020-03-07,BIG,NiP,11,16,2,
2020-03-07,BIG,NiP,10,16,2,
2020-03-07,Chaos,Mythic,7,16,2,
2020-03-07,Chaos,Mythic,16,11,1,
2020-03-07,Chaos,Mythic,7,16,2,
2020-03-07,Orgless,Yeah,16,10,1,
2020-03-07,EHOME,ViCi,17,19,2,
2020-03-07,Orgless,Yeah,11,16,2,
2020-03-07,Bad News Bears,Rugratz,16,11,1,
2020-03-07,eUnited,Ze Pug Godz,22,19,1,
2020-03-07,NiP,Apeks,12,16,2,
2020-03-07,TYLOO,ViCi,9,16,2,
2020-03-07,EHOME,ViCi,19,16,1,
2020-03-07,fnatic,SMASH,16,6,1,
2020-03-07,fnatic,SMASH,16,7,1,
2020-03-07,OG,Heretics,9,16,2,
2020-03-07,OG,Heretics,9,16,2,
2020-03-07,NiP,Apeks,16,5,1,
2020-03-07,Yalla,Aequus,8,16,2,
2020-03-07,Dignitas,Movistar Riders,16,14,1,
2020-03-07,Dignitas,Movistar Riders,16,10,1,
2020-03-07,Heroic,KOVA,19,16,1,
2020-03-07,Heroic,KOVA,16,10,1,
2020-03-07,Lucid Dream,Beyond,22,19,1,
2020-03-07,Lucid Dream,Beyond,16,3,1,
2020-03-07,Yalla,Aequus,8,16,2,
2020-03-07,TYLOO,ViCi,16,13,1,
2020-03-07,Bren,HZ,22,20,1,
2020-03-07,TYLOO,ViCi,8,16,2,
2020-03-07,NiP,Apeks,16,14,1,
2020-03-07,GODSENT,Copenhagen Flames,19,17,1,
2020-03-07,Bren,HZ,10,16,2,
2020-03-07,GODSENT,Copenhagen Flames,16,13,1,
2020-03-07,Bren,HZ,11,16,2,
2020-03-07,Complexity,Sprout,16,9,1,
2020-03-07,Complexity,Sprout,16,6,1,
2020-03-07,BIG,Nordavind,16,6,1,
2020-03-07,BIG,Nordavind,16,3,1,
2020-03-06,fbg,Unique,9,16,2,
2020-03-06,Under 21,LiViD,16,9,1,
2020-03-06,fbg,Unique,11,16,2,
2020-03-06,Nemiga,eL'quvet,16,6,1,
2020-03-06,Nemiga,eL'quvet,16,5,1,
2020-03-06,Big Frames,Oceanus,16,11,1,
2020-03-06,Triumph,New England Whalers,16,2,1,
2020-03-06,Triumph,Big Frames,22,20,1,
2020-03-06,Monstars,Infinity,7,16,2,
2020-03-06,Monstars,Swole Identity,14,16,2,
2020-03-06,LiViD,Triumph,17,19,2,
2020-03-06,Swole Identity,New England Whalers,16,12,1,
2020-03-06,Isurus,BOOM,4,16,2,
2020-03-06,Isurus,BOOM,17,19,2,
2020-03-06,eUnited,Divine,16,6,1,
2020-03-06,Rugratz,Infinity,16,4,1,
2020-03-06,Finest,ATK,16,14,1,
2020-03-06,AGO,GamerLegion,16,6,1,
2020-03-06,Yalla,Camel Riders,4,16,2,
2020-03-06,Finest,ATK,16,4,1,
2020-03-06,Yalla,Camel Riders,16,4,1,
2020-03-06,1WIN,Unique,14,16,2,
2020-03-06,1WIN,Unique,19,15,1,
2020-03-06,1WIN,Unique,13,16,2,
2020-03-06,forZe,pro100,19,15,1,
2020-03-06,forZe,pro100,16,13,1,
2020-03-06,Espada,HellRaisers,16,9,1,
2020-03-06,Hard Legion,Nemiga,16,14,1,
2020-03-06,Hard Legion,Nemiga,16,8,1,
2020-03-06,Espada,HellRaisers,16,12,1,
2020-03-06,Yalla,Camel Riders,17,19,2,
2020-03-06,SG.pro,pro100,14,16,2,
2020-03-06,SG.pro,pro100,19,17,1,
2020-03-06,SG.pro,pro100,2,16,2,
2020-03-06,SpeedRunners,HellRaisers,16,10,1,
2020-03-06,SpeedRunners,HellRaisers,8,16,2,
2020-03-06,SpeedRunners,HellRaisers,10,16,2,
2020-03-06,Finest,ATK,16,19,2,
2020-03-05,Skyfire,Rooster,10,16,2,
2020-03-05,PC419,Rooster,3,16,2,
2020-03-05,Skyfire,Rooster,7,16,2,
2020-03-05,Airborne,AVANT,4,16,2,
2020-03-05,EHOME,Invictus,16,14,1,
2020-03-05,EHOME,Invictus,16,4,1,
2020-03-05,D13,Updraft,16,8,1,
2020-03-05,D13,Updraft,16,11,1,
2020-03-05,PACT,GamerLegion,4,16,2,
2020-03-05,PC419,Rooster,1,16,2,
2020-03-05,I sleep,FURY,17,19,2,
2020-03-05,GamerLegion,Illuminar,16,6,1,
2020-03-05,Eimi Fukada FC,Paradox,11,16,2,
2020-03-05,Eimi Fukada FC,Paradox,25,22,1,
2020-03-05,forZe,SpeedRunners,16,12,1,
2020-03-05,forZe,SpeedRunners,16,3,1,
2020-03-05,Copenhagen Flames,Chaos,10,16,2,
2020-03-05,Nemiga,1WIN,6,16,2,
2020-03-05,Triumph,Recon 5,14,16,2,
2020-03-05,Swole Identity,Triumph,11,16,2,
2020-03-05,Copenhagen Flames,Chaos,16,12,1,
2020-03-05,Copenhagen Flames,Chaos,2,16,2,
2020-03-05,Spirit,SG.pro,16,5,1,
2020-03-05,Divine,Mythic,15,19,2,
2020-03-05,Big Frames,Infinity,16,12,1,
2020-03-05,LiViD,Station7,10,16,2,
2020-03-05,Triumph,Rugratz,16,12,1,
2020-03-05,Bad News Bears,eUnited,16,12,1,
2020-03-05,Swole Identity,In The Lab,13,16,2,
2020-03-05,LiViD,Infinity,16,7,1,
2020-03-05,Recon 5,New England Whalers,16,5,1,
2020-03-05,Under 21,Station7,16,10,1,
2020-03-05,Mythic,In The Lab,16,9,1,
2020-03-05,Imperial,BOOM,7,16,2,
2020-03-05,Imperial,BOOM,9,16,2,
2020-03-05,Imperial,BOOM,16,13,1,
2020-03-05,TeamOne,paiN,16,7,1,
2020-03-05,TeamOne,paiN,16,7,1,
2020-03-05,LiViD,New England Whalers,16,10,1,
2020-03-05,Nemiga,1WIN,7,16,2,
2020-03-05,Eimi Fukada FC,Paradox,13,16,2,
2020-03-05,Spirit,SG.pro,16,13,1,
2020-03-05,Syman,Hard Legion,11,16,2,
2020-03-05,AGO,Singularity,16,8,1,
2020-03-05,1WIN,Gambit Youngsters,9,16,2,
2020-03-05,1WIN,Gambit Youngsters,6,16,2,
2020-03-05,forZe,Winstrike,13,16,2,
2020-03-05,forZe,Winstrike,14,16,2,
2020-03-05,Spirit,Espada,16,14,1,
2020-03-05,Spirit,Espada,16,14,1,
2020-03-05,Syman,Hard Legion,16,14,1,
2020-03-05,Camel Riders,Finest,16,14,1,
2020-03-05,HAVU,BIG,13,16,2,
2020-03-05,Camel Riders,Finest,16,8,1,
2020-03-05,Camel Riders,Finest,7,16,2,
2020-03-05,TeamOne,BOOM,9,16,2,
2020-03-05,TeamOne,BOOM,1,16,2,
2020-03-05,Orgless,Chaos,16,11,1,
2020-03-05,Orgless,Chaos,12,16,2,
2020-03-05,Orgless,Chaos,16,6,1,
2020-03-05,Illuminar,Japaleno,4,16,2,
2020-03-05,HAVU,BIG,12,16,2,
2020-03-05,Syman,Hard Legion,16,7,1,
2020-03-05,Movistar Riders,Singularity,16,12,1,
