date,team_1,team_2,_map,result_1,result_2,map_winner,
2020-03-18,Recon 5,TeamOne,Dust2,0,16,2,
2020-03-18,Recon 5,TeamOne,Inferno,13,16,2,
2020-03-18,New England Whalers,Station7,Inferno,12,16,2,
2020-03-18,Rugratz,Bad News Bears,Inferno,7,16,2,
2020-03-18,Rugratz,Bad News Bears,Vertigo,8,16,2,
2020-03-17,Singularity,Endpoint,Overpass,13,16,2,
2020-03-17,Singularity,Endpoint,Vertigo,11,16,2,
2020-03-17,Espada,Tricked,Dust2,16,10,1,
2020-03-17,Espada,Tricked,Nuke,16,10,1,
2020-03-17,fnatic,BIG,Mirage,12,16,2,
2020-03-17,Sprout,Movistar Riders,Mirage,16,10,1,
2020-03-17,Rooster,Skyfire,Inferno,16,13,1,
2020-03-17,Rooster,Skyfire,Overpass,16,1,1,
2020-03-17,Paradox,Airborne,Nuke,19,16,1,
2020-03-17,Paradox,Airborne,Mirage,9,16,2,
2020-03-17,Paradox,Airborne,Inferno,10,16,2,
2020-03-17,Alcoholics Anonymous,Station7,Mirage,5,16,2,
2020-03-17,New England Whalers,District 7,Nuke,16,7,1,
2020-03-17,AGO,HellRaisers,Train,16,5,1,
2020-03-17,AGO,HellRaisers,Inferno,16,5,1,
2020-03-17,Sprout,Movistar Riders,Inferno,16,7,1,
2020-03-17,fnatic,BIG,Overpass,16,7,1,
2020-03-17,Natus Vincere,North,Nuke,10,16,2,
2020-03-17,Natus Vincere,North,Dust2,10,16,2,
2020-03-17,forZe,Complexity,Train,9,16,2,
2020-03-17,forZe,Complexity,Mirage,19,17,1,
2020-03-17,fnatic,BIG,Inferno,7,16,2,
2020-03-17,forZe,Complexity,Dust2,16,9,1,
2020-03-17,pro100,Japaleno,Inferno,8,16,2,
2020-03-17,pro100,Japaleno,Dust2,14,16,2,
2020-03-17,GamerLegion,Nordavind,Vertigo,16,9,1,
2020-03-17,GamerLegion,Nordavind,Mirage,9,16,2,
2020-03-17,GamerLegion,Nordavind,Nuke,14,16,2,
2020-03-16,District 7,Bad News Bears,Vertigo,7,16,2,
2020-03-16,Thunder Logic,TeamOne,Mirage,5,16,2,
2020-03-16,Bad News Bears,Station7,Inferno,16,8,1,
2020-03-16,Rugratz,New England Whalers,Mirage,16,10,1,
2020-03-16,Recon 5,Oceanus,Nuke,16,5,1,
2020-03-16,Chaos,In The Lab,Dust2,16,1,1,
2020-03-16,Infinity,Thunder Logic,Dust2,16,14,1,
2020-03-16,District 7,Rugratz,Mirage,9,16,2,
2020-03-16,Under 21,TeamOne,Nuke,12,16,2,
2020-03-16,Chaos,Monstars,Inferno,16,12,1,
2020-03-16,Thunder Logic,New England Whalers,Nuke,16,13,1,
2020-03-16,Singularity,Espada,Nuke,16,11,1,
2020-03-16,Vitality,GODSENT,Vertigo,16,14,1,
2020-03-16,Vitality,GODSENT,Nuke,16,8,1,
2020-03-16,Astralis,NiP,Overpass,8,16,2,
2020-03-16,Thunder Logic,Under 21,Nuke,11,16,2,
2020-03-16,Astralis,NiP,Vertigo,6,16,2,
2020-03-16,Singularity,Espada,Mirage,11,16,2,
2020-03-16,Singularity,Espada,Dust2,9,16,2,
2020-03-16,ENCE,Spirit,Inferno,2,16,2,
2020-03-16,ENCE,Spirit,Train,14,16,2,
2020-03-15,Big Frames,Chaos,Overpass,13,16,2,
2020-03-15,Swole Identity,Mythic,Dust2,9,16,2,
2020-03-15,I sleep,Airborne,Nuke,10,16,2,
2020-03-15,I sleep,Airborne,Overpass,9,16,2,
2020-03-15,Thunder Logic,Swole Identity,Overpass,19,16,1,
2020-03-15,Chaos,Oceanus,Dust2,16,8,1,
2020-03-15,TeamOne,Big Frames,Nuke,16,5,1,
2020-03-15,Thunder Logic,In The Lab,Mirage,16,14,1,
2020-03-15,I sleep,Incept,Vertigo,16,8,1,
2020-03-15,FunPlus Phoenix,Cloud9,Train,20,22,2,
2020-03-15,Endpoint,Tricked,Mirage,6,16,2,
2020-03-15,Endpoint,Tricked,Train,14,16,2,
2020-03-15,Endpoint,Tricked,Dust2,16,13,1,
2020-03-15,Orgless,Dignitas,Inferno,12,16,2,
2020-03-15,Orgless,Dignitas,Nuke,10,16,2,
2020-03-15,Orgless,Dignitas,Train,16,8,1,
2020-03-15,FunPlus Phoenix,Cloud9,Inferno,3,16,2,
2020-03-15,I sleep,Incept,Dust2,16,6,1,
2020-03-15,FunPlus Phoenix,Cloud9,Nuke,16,10,1,
2020-03-14,Bad News Bears,Under 21,Dust2,18,22,2,
2020-03-14,ORDER,Paradox,Inferno,16,19,2,
2020-03-14,ORDER,Paradox,Vertigo,16,6,1,
2020-03-14,ORDER,Paradox,Mirage,16,4,1,
2020-03-14,EGOBOYZ,Infamous,Inferno,16,9,1,
2020-03-14,Triumph,Chaos,Nuke,16,8,1,
2020-03-14,Bad News Bears,Triumph,Inferno,16,10,1,
2020-03-14,Chaos,TeamOne,Inferno,16,3,1,
2020-03-14,TeamOne,Rugratz,Overpass,11,16,2,
2020-03-14,EGOBOYZ,Infamous,Overpass,8,16,2,
2020-03-14,Imperial,Reapers,Mirage,16,11,1,
2020-03-14,EGOBOYZ,Infamous,Mirage,18,22,2,
2020-03-14,Imperial,Reapers,Train,16,10,1,
2020-03-14,Supremacy,Infamous,Mirage,16,12,1,
2020-03-14,Chaos,MIBR,Train,16,6,1,
2020-03-14,Mythic,Station7,Dust2,14,16,2,
2020-03-14,Chaos,MIBR,Nuke,16,14,1,
2020-03-14,Gen.G,Envy,Train,19,17,1,
2020-03-14,Gen.G,Envy,Inferno,13,16,2,
2020-03-14,Gen.G,Envy,Mirage,16,9,1,
2020-03-14,Supremacy,Infamous,Dust2,16,1,1,
2020-03-13,Bad News Bears,Oceanus,Mirage,16,4,1,
2020-03-13,District 7,Divine,Mirage,22,20,1,
2020-03-13,Swole Patrol,Under 21,Nuke,16,8,1,
2020-03-13,Swole Identity,Big Frames,Inferno,25,22,1,
2020-03-13,TeamOne,Mythic,Overpass,4,16,2,
2020-03-13,Thunder Logic,Rugratz,Mirage,11,16,2,
2020-03-13,Triumph,In The Lab,Inferno,16,7,1,
2020-03-13,Swole Identity,Bad News Bears,Dust2,9,16,2,
2020-03-13,Under 21,Mythic,Mirage,22,19,1,
2020-03-13,Divine,Station7,Mirage,13,16,2,
2020-03-13,Chaos,New England Whalers,Nuke,16,10,1,
2020-03-13,District 7,Swole Patrol,Nuke,12,16,2,
2020-03-13,Divine,Big Frames,Overpass,16,11,1,
2020-03-13,Triumph,Monstars,Overpass,16,4,1,
2020-03-13,Chaos,Thunder Logic,Nuke,16,12,1,
2020-03-13,Reapers,Neverest,Vertigo,17,19,2,
2020-03-13,New England Whalers,TeamOne,Nuke,16,12,1,
2020-03-13,MAD Lions,HAVU,Train,10,16,2,
2020-03-13,District 7,Mythic,Mirage,16,11,1,
2020-03-13,Reapers,Neverest,Mirage,16,10,1,
2020-03-13,Reapers,Neverest,Inferno,16,10,1,
2020-03-13,Copenhagen Flames,c0ntact,Nuke,16,19,2,
2020-03-13,MAD Lions,HAVU,Nuke,13,16,2,
2020-03-13,MAD Lions,HAVU,Mirage,16,12,1,
2020-03-13,Copenhagen Flames,c0ntact,Mirage,5,16,2,
2020-03-13,pro100,Sprout,Train,16,12,1,
2020-03-13,Spirit,Demolition Crew,Nuke,16,9,1,
2020-03-13,Singularity,Unicorns of Love,Nuke,16,7,1,
2020-03-13,Spirit,pro100,Mirage,16,8,1,
2020-03-13,TeamOne,In The Lab,Dust2,16,5,1,
2020-03-13,Oceanus,Swole Patrol,Nuke,10,16,2,
2020-03-12,Station7,Big Frames,Overpass,3,16,2,
2020-03-12,Bad News Bears,New England Whalers,Inferno,13,16,2,
2020-03-12,District 7,Chaos,Mirage,13,16,2,
2020-03-12,Triumph,Under 21,Inferno,11,16,2,
2020-03-12,Soberano,Bravos,Nuke,16,9,1,
2020-03-12,Soberano,Bravos,Dust2,22,20,1,
2020-03-12,Mythic,Recon 5,Vertigo,14,16,2,
2020-03-12,Oceanus,TeamOne,Dust2,9,16,2,
2020-03-12,Chaos,Infinity,Dust2,16,8,1,
2020-03-12,Chaos,Swole Identity,Dust2,14,16,2,
2020-03-12,Rugratz,Divine,Mirage,16,14,1,
2020-03-12,Bad News Bears,TeamOne,Nuke,12,16,2,
2020-03-12,In The Lab,Infinity,Mirage,13,16,2,
2020-03-12,Triumph,Swole Patrol,Vertigo,5,16,2,
2020-03-12,Swole Identity,Divine,Overpass,12,16,2,
2020-03-12,Under 21,Recon 5,Nuke,16,8,1,
2020-03-12,Swole Patrol,In The Lab,Overpass,16,3,1,
2020-03-12,Rugratz,Oceanus,Mirage,16,4,1,
2020-03-12,Divine,TeamOne,Dust2,14,16,2,
2020-03-12,In The Lab,Big Frames,Mirage,16,10,1,
2020-03-12,District 7,Thunder Logic,Mirage,16,14,1,
2020-03-12,Rooster,Paradox,Mirage,16,9,1,
2020-03-12,Illuminar,Spirit,Train,10,16,2,
2020-03-12,New England Whalers,Station7,Inferno,16,11,1,
2020-03-12,Japaleno,BIG,Inferno,11,16,2,
2020-03-12,PACT,pro100,Inferno,11,16,2,
2020-03-12,Spirit,Nemiga,Inferno,8,16,2,
2020-03-12,Sprout,Nordavind,Dust2,14,16,2,
2020-03-12,Unicorns of Love,HellRaisers,Dust2,6,16,2,
2020-03-12,Spirit,Nordavind,Inferno,16,5,1,
2020-03-12,HellRaisers,Wisla Krakow,Dust2,16,12,1,
2020-03-12,HellRaisers,Singularity,Dust2,16,12,1,
2020-03-12,Rooster,Paradox,Train,11,16,2,
2020-03-12,VERTEX,I sleep,Inferno,16,6,1,
2020-03-12,Rooster,Paradox,Inferno,16,13,1,
2020-03-12,Incept,Paradox,Dust2,7,16,2,
2020-03-12,VERTEX,I sleep,Dust2,16,2,1,
2020-03-12,Rooster,TRIDENT,Mirage,16,9,1,
2020-03-12,Chiefs,Skyfire,Inferno,22,20,1,
2020-03-12,ORDER,Ground Zero,Inferno,16,14,1,
2020-03-12,Ground Zero,Skyfire,Mirage,12,16,2,
2020-03-11,Bad News Bears,Monstars,Inferno,13,16,2,
2020-03-11,Chiefs,Paradox,Dust2,13,16,2,
2020-03-11,I sleep,Esper,Inferno,16,7,1,
2020-03-11,PC419,Formidable,Nuke,16,8,1,
2020-03-11,TeamOne,Recon 5,Nuke,16,11,1,
2020-03-11,LiViD,TeamOne,Nuke,12,16,2,
2020-03-11,Under 21,New England Whalers,Nuke,12,16,2,
2020-03-11,Big Frames,Recon 5,Nuke,6,16,2,
2020-03-11,Triumph,Thunder Logic,Overpass,16,7,1,
2020-03-11,TeamOne,Triumph,Dust2,19,17,1,
2020-03-11,Big Frames,Rugratz,Nuke,14,16,2,
2020-03-11,Under 21,Infinity,Mirage,16,7,1,
2020-03-11,New England Whalers,Monstars,Overpass,11,16,2,
2020-03-11,Station7,ex-eUnited,Overpass,4,16,2,
2020-03-11,In The Lab,Divine,Inferno,16,7,1,
2020-03-11,Station7,Rugratz,Overpass,7,16,2,
2020-03-11,Chiefs,Paradox,Mirage,20,22,2,
2020-03-11,Chiefs,Paradox,Inferno,16,14,1,
2020-03-11,LiViD,Recon 5,Train,9,16,2,
2020-03-11,FURY,TRIDENT,Vertigo,20,22,2,
2020-03-11,Keyd,Isurus,Inferno,7,16,2,
2020-03-11,Keyd,Isurus,Nuke,16,12,1,
2020-03-11,Illuminar,Nemiga,Nuke,13,16,2,
2020-03-11,AGO,Nemiga,Vertigo,16,10,1,
2020-03-11,Japaleno,Nordavind,Dust2,16,6,1,
2020-03-11,pro100,HellRaisers,Vertigo,16,13,1,
2020-03-11,Demolition Crew,BIG,Mirage,7,16,2,
2020-03-11,Wisla Krakow,Japaleno,Dust2,17,19,2,
2020-03-11,Spirit,Unicorns of Love,Inferno,16,6,1,
2020-03-11,ORDER,AVANT,Dust2,9,16,2,
2020-03-11,Sprout,Movistar Riders,Nuke,16,12,1,
2020-03-11,Sprout,PACT,Train,16,11,1,
2020-03-11,Illuminar,BIG,Mirage,7,16,2,
2020-03-11,ORDER,AVANT,Inferno,13,16,2,
2020-03-11,Nordavind,PACT,Overpass,16,2,1,
2020-03-11,ORDER,AVANT,Train,16,14,1,
2020-03-11,GamerLegion,pro100,Mirage,16,14,1,
2020-03-11,Spirit,HellRaisers,Vertigo,10,16,2,
2020-03-11,Nemiga,Nordavind,Nuke,16,6,1,
2020-03-10,Divine,Monstars,Inferno,23,25,2,
2020-03-10,Big Frames,Bad News Bears,Nuke,6,16,2,
2020-03-10,Station7,Recon 5,Inferno,13,16,2,
2020-03-10,TeamOne,Infinity,Train,16,14,1,
2020-03-10,Thunder Logic,Bad News Bears,Inferno,6,16,2,
2020-03-10,ex-eUnited,Chaos,Nuke,13,16,2,
2020-03-10,Station7,In The Lab,Mirage,16,11,1,
2020-03-10,Infinity,Divine,Mirage,14,16,2,
2020-03-10,TeamOne,Swole Identity,Overpass,16,11,1,
2020-03-10,Rugratz,Monstars,Mirage,16,4,1,
2020-03-10,Under 21,Oceanus,Nuke,16,2,1,
2020-03-10,DETONA,RED Canids,Train,9,16,2,
2020-03-10,DETONA,RED Canids,Nuke,14,16,2,
2020-03-10,Oceanus,New England Whalers,Nuke,16,13,1,
2020-03-10,ex-eUnited,Thunder Logic,Nuke,16,3,1,
2020-03-10,Under 21,Rugratz,Dust2,16,1,1,
2020-03-10,ex-eUnited,TeamOne,Train,16,8,1,
2020-03-10,Yeah,Envy,Overpass,12,16,2,
2020-03-10,In The Lab,New England Whalers,Inferno,12,16,2,
2020-03-10,In The Lab,Recon 5,Train,7,16,2,
2020-03-10,Yeah,Envy,Inferno,11,16,2,
2020-03-10,PACT,BIG,Dust2,7,16,2,
2020-03-10,AVANT,Paradox,Train,16,9,1,
2020-03-10,AGO,Nordavind,Mirage,7,16,2,
2020-03-10,Demolition Crew,Illuminar,Nuke,16,6,1,
2020-03-10,GamerLegion,Japaleno,Overpass,16,14,1,
2020-03-10,Spirit,Movistar Riders,Nuke,16,13,1,
2020-03-10,Demolition Crew,HellRaisers,Mirage,12,16,2,
2020-03-10,AGO,pro100,Train,19,15,1,
2020-03-10,Spirit,PACT,Inferno,16,3,1,
2020-03-10,Nemiga,HellRaisers,Inferno,13,16,2,
2020-03-10,BIG,Sprout,Mirage,14,16,2,
2020-03-10,Paradox,Ground Zero,Inferno,15,19,2,
2020-03-10,Rooster,Chiefs,Inferno,8,16,2,
2020-03-10,Skyfire,AVANT,Mirage,8,16,2,
2020-03-10,Paradox,Ground Zero,Mirage,16,9,1,
2020-03-10,Formidable,Incept,Dust2,9,16,2,
2020-03-10,Rooster,Chiefs,Mirage,38,40,2,
2020-03-10,PC419,Airborne,Nuke,7,16,2,
2020-03-10,PC419,Chiefs,Inferno,5,16,2,
2020-03-10,Paradox,Ground Zero,Overpass,19,15,1,
2020-03-09,TeamOne,Monstars,Mirage,6,16,2,
2020-03-09,ORDER,Ground Zero,Vertigo,16,3,1,
2020-03-09,Recon 5,Monstars,Inferno,16,9,1,
2020-03-09,New England Whalers,Infinity,Inferno,7,16,2,
2020-03-09,Infinity,Station7,Inferno,13,16,2,
2020-03-09,Thunder Logic,Recon 5,Nuke,12,16,2,
2020-03-09,New England Whalers,Big Frames,Nuke,19,17,1,
2020-03-09,Ze Pug Godz,Yeah,Mirage,13,16,2,
2020-03-09,Ze Pug Godz,Yeah,Nuke,10,16,2,
2020-03-09,Ze Pug Godz,Yeah,Inferno,16,10,1,
2020-03-09,Envy,Chaos,Dust2,19,16,1,
2020-03-09,Envy,Chaos,Mirage,18,22,2,
2020-03-09,Rooster,I sleep,Inferno,16,13,1,
2020-03-09,Envy,Chaos,Overpass,16,10,1,
2020-03-09,ORDER,Ground Zero,Mirage,16,10,1,
2020-03-09,Illuminar,Nordavind,Mirage,11,16,2,
2020-03-09,Paradox,FURY,Inferno,16,8,1,
2020-03-09,Triumph,Orgless,Dust2,16,12,1,
2020-03-09,Triumph,Orgless,Inferno,16,14,1,
2020-03-09,W7M,Alma,Dust2,16,7,1,
2020-03-09,W7M,Alma,Mirage,16,14,1,
2020-03-09,AGO,BIG,Dust2,16,6,1,
2020-03-09,Triumph,Orgless,Nuke,11,16,2,
2020-03-09,BIG,Unicorns of Love,Nuke,16,9,1,
2020-03-09,Chiefs,AVANT,Nuke,16,13,1,
2020-03-09,Chiefs,AVANT,Train,12,16,2,
2020-03-09,AGO,Illuminar,Train,6,16,2,
2020-03-09,Chiefs,AVANT,Dust2,12,16,2,
2020-03-09,BIG,GamerLegion,Mirage,11,16,2,
2020-03-08,Chiefs,Ground Zero,Inferno,16,9,1,
2020-03-08,Copenhagen Flames,Sprout,Mirage,4,16,2,
2020-03-08,Copenhagen Flames,Sprout,Nuke,16,12,1,
2020-03-08,Copenhagen Flames,Sprout,Train,16,11,1,
2020-03-08,SMASH,Movistar Riders,Nuke,7,16,2,
2020-03-08,SMASH,Movistar Riders,Train,16,14,1,
2020-03-08,EHOME,JiJieHao,Mirage,25,22,1,
2020-03-08,EHOME,JiJieHao,Nuke,14,16,2,
2020-03-08,EHOME,JiJieHao,Train,16,10,1,
2020-03-08,ORDER,Chiefs,Nuke,16,1,1,
2020-03-08,ORDER,Chiefs,Train,16,13,1,
2020-03-08,Chiefs,Ground Zero,Mirage,16,7,1,
2020-03-08,Chiefs,Ground Zero,Nuke,12,16,2,
2020-03-08,SMASH,Movistar Riders,Inferno,12,16,2,
2020-03-08,AVANT,Chiefs,Dust2,11,16,2,
2020-03-08,Rooster,Ground Zero,Mirage,9,16,2,
2020-03-08,Rooster,Ground Zero,Inferno,16,6,1,
2020-03-08,Rooster,Ground Zero,Vertigo,12,16,2,
2020-03-08,Gen.G,Orgless,Mirage,16,7,1,
2020-03-08,Gen.G,Orgless,Inferno,16,7,1,
2020-03-08,AVANT,Chiefs,Nuke,12,16,2,
2020-03-08,Cloud9,Mythic,Vertigo,16,14,1,
2020-03-08,Cloud9,Mythic,Inferno,16,10,1,
2020-03-08,Bad News Bears,Ze Pug Godz,Inferno,16,13,1,
2020-03-08,Bad News Bears,Ze Pug Godz,Dust2,16,9,1,
2020-03-08,KOVA,OG,Dust2,4,16,2,
2020-03-08,FURIA,Envy,Mirage,16,11,1,
2020-03-08,FURIA,Envy,Nuke,16,7,1,
2020-03-08,KOVA,OG,Inferno,14,16,2,
2020-03-08,BIG,Movistar Riders,Inferno,4,16,2,
2020-03-08,TYLOO,EHOME,Dust2,16,12,1,
2020-03-08,BIG,Movistar Riders,Mirage,16,11,1,
2020-03-08,TYLOO,EHOME,Mirage,16,7,1,
2020-03-08,Mythic,Triumph,Mirage,16,14,1,
2020-03-08,Mythic,Triumph,Overpass,14,16,2,
2020-03-08,Orgless,ex-eUnited,Nuke,3,16,2,
2020-03-08,Orgless,ex-eUnited,Overpass,16,11,1,
2020-03-08,Orgless,ex-eUnited,Inferno,16,12,1,
2020-03-08,GODSENT,OG,Train,16,3,1,
2020-03-08,GODSENT,OG,Dust2,20,22,2,
2020-03-08,GODSENT,OG,Nuke,16,14,1,
2020-03-08,Dignitas,Nordavind,Dust2,12,16,2,
2020-03-08,Dignitas,Nordavind,Nuke,16,13,1,
2020-03-08,Dignitas,Nordavind,Inferno,16,8,1,
2020-03-08,BIG,Movistar Riders,Overpass,20,22,2,
2020-03-08,Mythic,Triumph,Inferno,12,16,2,
2020-03-08,LiViD,Chaos,Overpass,8,16,2,
2020-03-08,Triumph,Swole Identity,Vertigo,16,5,1,
2020-03-08,LiViD,Chaos,Nuke,11,16,2,
2020-03-08,Nordavind,Apeks,Nuke,15,19,2,
2020-03-08,Nordavind,Apeks,Vertigo,16,8,1,
2020-03-08,Rugratz,ex-eUnited,Overpass,14,16,2,
2020-03-08,Rugratz,ex-eUnited,Vertigo,13,16,2,
2020-03-08,Nordavind,Apeks,Mirage,16,13,1,
2020-03-08,Triumph,Swole Identity,Overpass,16,13,1,
2020-03-08,Heroic,Copenhagen Flames,Train,13,16,2,
2020-03-08,Divine,Yeah,Nuke,6,16,2,
2020-03-08,Divine,Yeah,Inferno,2,16,2,
2020-03-08,Heroic,Copenhagen Flames,Inferno,14,16,2,
2020-03-07,Bren,Beyond,Inferno,12,16,2,
2020-03-07,Wubbalubbadubdub,R-Stars,Dust2,9,16,2,
2020-03-07,Wubbalubbadubdub,R-Stars,Mirage,7,16,2,
2020-03-07,Bren,Beyond,Overpass,4,16,2,
2020-03-07,Bren,Beyond,Nuke,16,11,1,
2020-03-07,Chiefs,Skyfire,Nuke,16,11,1,
2020-03-07,Chiefs,Skyfire,Inferno,2,16,2,
2020-03-07,Chiefs,Skyfire,Train,19,17,1,
2020-03-07,Maple,HZ,Inferno,6,16,2,
2020-03-07,Maple,HZ,Nuke,23,25,2,
2020-03-07,Blank,Bren,Inferno,11,16,2,
2020-03-07,ViCi,JiJieHao,Nuke,16,13,1,
2020-03-07,ViCi,JiJieHao,Mirage,2,16,2,
2020-03-07,OneThree,JiJieHao,Nuke,16,19,2,
2020-03-07,Blank,Bren,Dust2,2,16,2,
2020-03-07,Renegades,ORDER,Dust2,16,7,1,
2020-03-07,Renegades,ORDER,Nuke,16,9,1,
2020-03-07,Renegades,ORDER,Train,14,16,2,
2020-03-07,OneThree,JiJieHao,Train,11,16,2,
2020-03-07,OneThree,JiJieHao,Mirage,16,14,1,
2020-03-07,Maple,Paper Rex,Train,16,12,1,
2020-03-07,Maple,Paper Rex,Overpass,16,10,1,
2020-03-07,Maple,Paper Rex,Nuke,13,16,2,
2020-03-07,Aequus,Finest,Mirage,16,10,1,
2020-03-07,Aequus,Finest,Inferno,19,16,1,
2020-03-07,HZ,Lucid Dream,Inferno,10,16,2,
2020-03-07,Renegades,AVANT,Train,16,19,2,
2020-03-07,ViCi,JiJieHao,Train,16,4,1,
2020-03-07,Chiefs,Rooster,Mirage,16,14,1,
2020-03-07,Renegades,AVANT,Inferno,16,12,1,
2020-03-07,Chiefs,Rooster,Inferno,12,16,2,
2020-03-07,HZ,Lucid Dream,Dust2,14,16,2,
2020-03-07,Triumph,Infinity,Dust2,16,10,1,
2020-03-07,Under 21,Divine,Mirage,16,3,1,
2020-03-07,Renegades,catman,Inferno,16,9,1,
2020-03-07,Renegades,catman,Dust2,16,4,1,
2020-03-07,AVANT,Ground Zero,Overpass,16,9,1,
2020-03-07,AVANT,Ground Zero,Inferno,16,11,1,
2020-03-07,Station7,Triumph,Overpass,12,16,2,
2020-03-07,ORDER,Skyfire,Vertigo,16,7,1,
2020-03-07,ORDER,Skyfire,Mirage,22,20,1,
2020-03-07,Divine,Recon 5,Inferno,1,16,2,
2020-03-07,Under 21,In The Lab,Mirage,16,5,1,
2020-03-07,Chiefs,Rooster,Train,9,16,2,
2020-03-07,Renegades,AVANT,Nuke,16,6,1,
2020-03-07,Supremacy,Infamous,Train,16,7,1,
2020-03-07,Supremacy,Infamous,Mirage,16,7,1,
2020-03-07,Ground Zero,catman,Nuke,16,7,1,
2020-03-07,Ground Zero,catman,Mirage,16,12,1,
2020-03-07,TYLOO,Wubbalubbadubdub,Train,16,5,1,
2020-03-07,TYLOO,Wubbalubbadubdub,Dust2,16,6,1,
2020-03-07,EHOME,OneThree,Train,16,10,1,
2020-03-07,EHOME,OneThree,Nuke,16,5,1,
2020-03-07,Rooster,ORDER,Nuke,8,16,2,
2020-03-07,Rooster,ORDER,Mirage,8,16,2,
2020-03-07,Paper Rex,Lucid Dream,Nuke,13,16,2,
2020-03-07,Paper Rex,Lucid Dream,Overpass,8,16,2,
2020-03-07,HZ,Lucid Dream,Train,16,14,1,
2020-03-07,Complexity,GODSENT,Dust2,16,11,1,
2020-03-07,EHOME,ViCi,Overpass,8,16,2,
2020-03-07,Bad News Bears,Rugratz,Nuke,16,1,1,
2020-03-07,Bad News Bears,Rugratz,Mirage,10,16,2,
2020-03-07,Heretics,Heroic,Inferno,16,13,1,
2020-03-07,Heretics,Heroic,Dust2,16,13,1,
2020-03-07,FURIA,Triumph,Inferno,16,11,1,
2020-03-07,FURIA,Triumph,Overpass,16,14,1,
2020-03-07,eUnited,Ze Pug Godz,Overpass,14,16,2,
2020-03-07,eUnited,Ze Pug Godz,Inferno,10,16,2,
2020-03-07,Envy,Swole Identity,Train,16,14,1,
2020-03-07,Envy,Swole Identity,Overpass,11,16,2,
2020-03-07,Envy,Swole Identity,Mirage,16,12,1,
2020-03-07,fnatic,Dignitas,Overpass,16,3,1,
2020-03-07,fnatic,Dignitas,Inferno,19,15,1,
2020-03-07,fnatic,Dignitas,Vertigo,18,22,2,
2020-03-07,Gen.G,Divine,Nuke,16,7,1,
2020-03-07,Gen.G,Divine,Mirage,16,4,1,
2020-03-07,Cloud9,LiViD,Overpass,16,11,1,
2020-03-07,Cloud9,LiViD,Train,16,5,1,
2020-03-07,Orgless,Yeah,Dust2,16,9,1,
2020-03-07,Complexity,GODSENT,Inferno,16,11,1,
2020-03-07,BIG,NiP,Vertigo,11,16,2,
2020-03-07,BIG,NiP,Inferno,10,16,2,
2020-03-07,Chaos,Mythic,Mirage,7,16,2,
2020-03-07,Chaos,Mythic,Nuke,16,11,1,
2020-03-07,Chaos,Mythic,Overpass,7,16,2,
2020-03-07,Orgless,Yeah,Train,16,10,1,
2020-03-07,EHOME,ViCi,Nuke,17,19,2,
2020-03-07,Orgless,Yeah,Nuke,11,16,2,
2020-03-07,Bad News Bears,Rugratz,Inferno,16,11,1,
2020-03-07,eUnited,Ze Pug Godz,Vertigo,22,19,1,
2020-03-07,NiP,Apeks,Overpass,12,16,2,
2020-03-07,TYLOO,ViCi,Train,9,16,2,
2020-03-07,EHOME,ViCi,Mirage,19,16,1,
2020-03-07,fnatic,SMASH,Inferno,16,6,1,
2020-03-07,fnatic,SMASH,Mirage,16,7,1,
2020-03-07,OG,Heretics,Mirage,9,16,2,
2020-03-07,OG,Heretics,Dust2,9,16,2,
2020-03-07,NiP,Apeks,Inferno,16,5,1,
2020-03-07,Yalla,Aequus,Mirage,8,16,2,
2020-03-07,Dignitas,Movistar Riders,Nuke,16,14,1,
2020-03-07,Dignitas,Movistar Riders,Overpass,16,10,1,
2020-03-07,Heroic,KOVA,Nuke,19,16,1,
2020-03-07,Heroic,KOVA,Vertigo,16,10,1,
2020-03-07,Lucid Dream,Beyond,Mirage,22,19,1,
2020-03-07,Lucid Dream,Beyond,Overpass,16,3,1,
2020-03-07,Yalla,Aequus,Inferno,8,16,2,
2020-03-07,TYLOO,ViCi,Mirage,16,13,1,
2020-03-07,Bren,HZ,Nuke,22,20,1,
2020-03-07,TYLOO,ViCi,Vertigo,8,16,2,
2020-03-07,NiP,Apeks,Vertigo,16,14,1,
2020-03-07,GODSENT,Copenhagen Flames,Nuke,19,17,1,
2020-03-07,Bren,HZ,Mirage,10,16,2,
2020-03-07,GODSENT,Copenhagen Flames,Vertigo,16,13,1,
2020-03-07,Bren,HZ,Dust2,11,16,2,
2020-03-07,Complexity,Sprout,Inferno,16,9,1,
2020-03-07,Complexity,Sprout,Overpass,16,6,1,
2020-03-07,BIG,Nordavind,Mirage,16,6,1,
2020-03-07,BIG,Nordavind,Inferno,16,3,1,
2020-03-06,fbg,Unique,Train,9,16,2,
2020-03-06,Under 21,LiViD,Inferno,16,9,1,
2020-03-06,fbg,Unique,Mirage,11,16,2,
2020-03-06,Nemiga,eL'quvet,Dust2,16,6,1,
2020-03-06,Nemiga,eL'quvet,Nuke,16,5,1,
2020-03-06,Big Frames,Oceanus,Dust2,16,11,1,
2020-03-06,Triumph,New England Whalers,Overpass,16,2,1,
2020-03-06,Triumph,Big Frames,Nuke,22,20,1,
2020-03-06,Monstars,Infinity,Dust2,7,16,2,
2020-03-06,Monstars,Swole Identity,Train,14,16,2,
2020-03-06,LiViD,Triumph,Inferno,17,19,2,
